Area,Ward No,Sub Ward,Ward Name,Winner,Party
,1,A,Rupinagar-Talvade,Vikas Sane,NCP
,1,B,Rupinagar-Talvade,Sonam More,BJP
,1,C,Rupinagar-Talvade,Sangeeta Tamhane,NCP
,1,D,Rupinagar-Talvade,Yash Sane,NCP
,2,A,Triveninagar,Sujata Borate,BJP
,2,B,Triveninagar,Sarika Borhade,BJP
,2,C,Triveninagar,Rahul Jadhav,BJP
,2,D,Triveninagar,Nikhil Borhade,BJP
,3,A,Mud,Gaikwad Sarika,BJP
,3,B,Mud,Nitin Kalje,BJP
,3,C,Mud,Arcana Cheap,BJP
,3,D,Mud,Sachin Tapkir,BJP
,4,A,Krishnanagar,Shruti Dolas,BJP
,4,B,Krishnanagar,Krishna Surkule,BJP
,4,C,Krishnanagar,Hirabai Ghule,BJP
,4,D,Krishnanagar,Uday Gaikwad,BJP
,5,A,Kudalwadi - Jadhavwadi,"Bhimabai Bubbles,",NCP
,5,B,Kudalwadi - Jadhavwadi,"Sagar Gawli,",BJP
,5,C,Kudalwadi - Jadhavwadi,"Kavita Bhongale,",BJP
,5,D,Kudalwadi - Jadhavwadi,"Jalindar Shinde,",BJP
,6,A,Moshi,Deokar Rekha Devram,BJP
,6,B,Moshi,Unopposed Wolf Ravi,BJP
,6,C,Moshi,The wolf king,BJP
,6,D,Moshi,Wolf Yogesh,BJP
,7,A,Charholi,"Viraj Lande,",NCP
,7,B,Charholi,"Sonali Gavane,",BJP
,7,C,Charholi,Rani Pathare,BJP
,7,D,Charholi,"Nitin Landage,",BJP
,8,A,Vidyanagar,Kamble Suhas,BJP
,8,B,Vidyanagar,Londhe humility,BJP
,8,C,Vidyanagar,Wable Ashwini,NCP
,8,D,Vidyanagar,Sahane Tushar,NCP
,9,A,Sambhajinagar,Siddharth Bansode,NCP
,9,B,Sambhajinagar,Vaishali Ghodekar,NCP
,9,C,Sambhajinagar,Sarika Masulkar,NCP
,9,D,Sambhajinagar,Rahul Bhosale,NCP
,10,A,Tuljaivasti Ajanthanagar,Anuradha Gorkhe,BJP
,10,B,Tuljaivasti Ajanthanagar,Chandgude Supriya Mahesh,BJP
,10,C,Tuljaivasti Ajanthanagar,sharp steps,BJP
,10,D,Tuljaivasti Ajanthanagar,Tushar Hinge,BJP
,11,A,Yamunanagar,Gaikwad Kundan,BJP
,11,B,Yamunanagar,Rita Sanap,BJP
,11,C,Yamunanagar,Yogita Nagargoje,BJP
,11,D,Yamunanagar,Nilesh Newale,BJP
,12,A,Late Madhukar Pawale High School,Bhalekar Praveen,BJP
,12,B,Late Madhukar Pawale High School,Soft Warning,BJP
,12,C,Late Madhukar Pawale High School,Shivani Narle,BJP
,12,D,Late Madhukar Pawale High School,Pankaj Bhalekar,NCP
,13,A,Nigdi village,Anil Abhiman Gholap/ Bappu Gholap,BJP
,13,B,Nigdi village,Archana Karande,BJP
,13,C,Nigdi village,Sulabha Ubale,ShivSena
,13,D,Nigdi village,Good news,BJP
,14,A,Bhakti Shakti Park,Kailash Kute,BJP
,14,B,Bhakti Shakti Park,Vaishali Kalbhor,NCP
,14,C,Bhakti Shakti Park,Aruna the diaper,NCP
,14,D,Bhakti Shakti Park,Pramod Kute,NCP
,15,A,Dattawadi,Raju Misal,BJP
,15,B,Dattawadi,More Shailaja,BJP
,15,C,Dattawadi,Sharmila Babar,BJP
,15,D,Dattawadi,Amit Gawade,BJP
,16,A,Akurdi village,Tantrapale Dharmapala,BJP
,16,B,Akurdi village,Aishwarya Taras,ShivSena
,16,C,Akurdi village,Reshma Katale,ShivSena
,16,D,Akurdi village,Nilesh Taras,ShivSena
,17,A,Sant Tukaram Udyan,"Asha Suryavanshi,",BJP
,17,B,Sant Tukaram Udyan,Bhausaheb Bhoir,NCP
,17,C,Sant Tukaram Udyan,"Pallavi Walhekar,",BJP
,17,D,Sant Tukaram Udyan,"Shekhar Chinchwade,",NCP
,18,A,Kiwale,Aparna Nilesh Doke,BJP
,18,B,Kiwale,"Manisha Chinchwade,",BJP
,18,C,Kiwale,"Anant Korhale,",NCP
,18,D,Kiwale,"Suresh Bhoir,",BJP
,19,A,Walhekarwadi,Madhura Shinde,BJP
,19,B,Walhekarwadi,Sheetal Shinde,BJP
,19,C,Walhekarwadi,Savita Aswani,NCP
,19,D,Walhekarwadi,Mandar Deshpande,BJP
,20,A,Chinchwadnagar,Jitendra Nanavare,NCP
,20,B,Chinchwadnagar,Manisha Lande,NCP
,20,C,Chinchwadnagar,Varsha Jagtap,NCP
,20,D,Chinchwadnagar,Yogesh Bahl,NCP
,21,A,Dalvinagar,Nikita Kadam,NCP
,21,B,Dalvinagar,Sandeep Waghere,NCP
,21,C,Dalvinagar,Priyanka Kudale,NCP
,21,D,Dalvinagar,Daboo Aswani,NCP
,22,A,Chinchwad village station,"Neeta Padale,",BJP
,22,B,Chinchwad village station,"Soft black,",BJP
,22,C,Chinchwad village station,Don't be ridiculous.,BJP
,22,D,Chinchwad village station,"Santosh Konkane,",NCP
,23,A,Keshavnagar,Manisha Pawar,BJP
,23,B,Keshavnagar,Tanhaji Barane,BJP
,23,C,Keshavnagar,Barane Yogita,NCP
,23,D,Keshavnagar,Abhishek Barane,BJP
,24,A,Prof. Ramakrishna More Auditorium,Vishwajit Barane,ShivSena
,24,B,Prof. Ramakrishna More Auditorium,Shalini Gujar,Independent
,24,C,Prof. Ramakrishna More Auditorium,Maya Barane,NCP
,24,D,Prof. Ramakrishna More Auditorium,Nilesh Barne,ShivSena
,25,A,Chinchwad Station - Anandnagar,Kunal Vawalkar,BJP
,25,B,Chinchwad Station - Anandnagar,Reshma Bhujbal,BJP
,25,C,Chinchwad Station - Anandnagar,Shruti Wakadkar,BJP
,25,D,Chinchwad Station - Anandnagar,Rahul Kalate,BJP
,26,A,Kalbhornagar,Adv. Vinayak Gaikwad,BJP
,26,B,Kalbhornagar,Aarti Suresh Chaunde,BJP
,26,C,Kalbhornagar,Sneha Ranjit Kalate,BJP
,26,D,Kalbhornagar,Sandeep Arun Kaspate,BJP
,27,A,Morwadi,Babasaheb Tribhuvan,BJP
,27,B,Morwadi,Savita Khule,BJP
,27,C,Morwadi,Archana Tapkir,BJP
,27,D,Morwadi,Sagar Konkane,NCP
,28,A,Masulkar Colony,Shatrughan Sitaram Kate,BJP
,28,B,Masulkar Colony,Anita Sandeep Kate,BJP
,28,C,Masulkar Colony,Kunda Sanjay Bhise,BJP
,28,D,Masulkar Colony,Vitthal alias Nana Kate,NCP
,29,A,Indrayaninagar,Raveena Angholkar,BJP
,29,B,Indrayaninagar,Shakuntala Darade,BJP
,29,C,Indrayaninagar,Shashikant Kadam,BJP
,29,D,Indrayaninagar,Sham Jagtap,BJP
,30,A,Chakrapani Colony,Raju Bansode,NCP
,30,B,Chakrapani Colony,Wait for the long journey.,NCP
,30,C,Chakrapani Colony,Swati alias Mai Kate,NCP
,30,D,Chakrapani Colony,Sanjay Kate,BJP
,31,A,Dighi,Deepti Kamble,NCP
,31,B,Dighi,Dnyaneshwar Jagtap,BJP
,31,C,Dighi,Pallavi Jagtap,BJP
,31,D,Dighi,Navnath Jagtap,BJP
,32,A,Sandvik Colony,Trupti Kamble,BJP
,32,B,Sandvik Colony,Harshal Dhore,BJP
,32,C,Sandvik Colony,Ujjwala Dhore,NCP
,32,D,Sandvik Colony,Prashant Shitole,BJP
